Bokmål,Nynorsk,Engelsk,Beskrivelse
kompilere,,compiling,
refakturere,,refactoring,
versjon kontroll system,,version control system,
algoritme,,algorithm,
stokastisk,,stochastic,
markov prosess,,markov process,
profilering,,profiling,
blandet programmering,,mixed programming,
allokere,,allocate,
objekt,,object,
variabel,,variable,
programmering,,programming,
kildekode,,source code,
datavitenskap,,computer science,
deallokere,,deallocate,
iterere,,iterate,
løkke,,loop,
rekke,,array,
peker,,pointer,
tildele,,assign,
ytelsestest,,benchmark,
pause punkt,,breakpoint
attributt,,attribute,
break point,,calculate,
break point,,compute,
feil,,bug,
hurtiglager,,cache,
beregne,,calculate,
avbryte,,cancel,
tegn,,character,
klone,,clone,
lukke,,close,
kompilator,,command,
kompilator,,condition
slå sammen,,concatenate,

kommandolinje grensesnitt,,command line interface (CLI),
oppsett,,configuration,

konsoll,,console,
kompilator,,compiler,

konvertering,,conversion,
fortsett,,continue,
kjerne dump,,core dump,
sentralenhet,,CPU,
utføre,,commit,

feilsøkingsprogram,,debugger,

betingelse,,condition,
sette opp,,configure,

miljøvariabel,,environment variable,
kjørbar,,executable,
feil,,error,
inkrementere,,increment,
økende,,incremental
feilsøk,,debug,
standard (verdi),,default,
slette,,invalid,
mappe,,directory,
tekstprogram,,editor,
inkludere,,embed,
miljø,,environment,
minne,,memory,

flagg,,flag,
mappe,,folder,
hjemme mappe,,home directory,
implementere,,implement,
øke,,increment,
innrykk,,indent,
inndata,,input,
heltall,,integer,
flyttall,,float,
oversetter,,interpreter,
tilfeldig,,random,
gjenta,,iterate,
gjentakelse,,iteration,
gjentakende,,iterative,
merkelapp,,label,
bibliotek,,library,
liste,,list,
oppslagsverk,,dictionary,
matrise,,matrix,
minne lekasje,,memory leak,
parallellkjøring,,multiprocessing,
navnerom,,namespace,
foreldre,,parent,
klasse,,class,
sti,,path,
ytelse,,performance,
flette,,merge,
brukergrensesnitt,,user interface (UI),
gren,,branch,
polymorfi,,polymorphism,
skriv ut,,print,
programmeringspråk,,programming language,
tilføye,,amend,
returtype,,return type
funksjon,,function,
rekursjon,,recursion,
resurs,,resource,
kodelager,,repository,
rot,,root,
rotmappe,,root directory,
nøkkel,,key,
kjøretid,,runtime,
egenskap,,property,
kjøreomgivelse,,runtime environment,
skop,,scope,
virkefelt,,scope,
skript,,script,
mengde,,set,
tuppel,,tuple,
strøm,,stream,
endelse,,suffix,
terminal,,terminal,
tråd,,thread,
forkorte,,truncate,
type,,type,
enhetstesting,,unit testing,
brukergrensesnitt,,user interface,
grafisk brukergrensesnitt,,graphical user interface (GUI),
validere,,validate,
verifisere,,verify,
vektor,,vector,
arbeidsmappe,,working directory,

merke,,tag,

steg,,step,
grensesnitt,,interface,
verdi,,value,
instans,,instance,
kallbar,,callable,
argument,,argument,
parameter,,parameter,
kompleksitet,,complexity,
sortere,,sort,
intervall,,interval,
arv,,inheritance,
abstraksjon,,abstraction,
lagre,,store,
lagre,,save,
last inn,,load,
